player_id,player_name,recent_team,season,week,position,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points_ppr
00-0038752,J.Bobo,SEA,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,8.0,0,1.8
00-0038794,J.McLaughlin,DEN,2023,11,RB,0,0,0.0,0,0.0,1,1.0,0,5,5,14.0,0,6.5
00-0038797,E.Wilson,GB,2023,11,RB,0,0,0.0,0,0.0,3,12.0,0,2,1,9.0,0,3.1
00-0038821,R.Jarrett,TB,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,41.0,0,5.1
00-0038891,S.Jackson,CIN,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0038933,D.Kincaid,BUF,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,7,6,46.0,0,10.6
00-0038938,J.Hyatt,NYG,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,7.0,0,1.7
00-0038941,T.Scott,CHI,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,4.0,0,-0.6
00-0038976,M.Mims,DEN,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,3,2,12.0,0,3.2
00-0038977,T.Dell,HOU,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,10,8,149.0,1,28.9
00-0038979,C.Tillman,CLE,2023,11,WR,0,0,0.0,0,0.0,1,8.0,0,2,1,2.0,0,2.0
00-0038994,J.Addison,MIN,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,6,3,44.0,0,7.4
00-0038996,T.Kraft,GB,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,2,2,32.0,0,5.2
00-0039021,R.Johnson,CHI,2023,11,RB,0,0,0.0,0,0.0,6,30.0,0,0,0,0.0,0,3.0
00-0039032,T.Spears,TEN,2023,11,RB,0,0,0.0,0,0.0,4,14.0,0,2,2,12.0,0,4.6
00-0039040,D.Achane,MIA,2023,11,RB,0,0,0.0,0,0.0,1,1.0,0,1,1,4.0,0,1.5
00-0039041,E.Higgins,ARI,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,2,1,2.0,0,1.2
00-0039050,P.Durham,TB,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,2,2,13.0,0,3.3
00-0039052,T.Palmer,TB,2023,11,WR,0,0,0.0,0,0.0,1,6.0,0,6,4,22.0,0,6.8
00-0039062,J.Mingo,CAR,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,6,1,6.0,0,1.6
00-0039064,Z.Flowers,BAL,2023,11,WR,0,0,0.0,0,0.0,1,7.0,0,4,3,43.0,0,8.0
00-0039065,S.LaPorta,DET,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,5,3,18.0,0,6.8
00-0039066,M.Mayer,LV,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,5,4,46.0,0,8.6
00-0039067,R.Rice,KC,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,5,4,42.0,0,8.2
00-0039075,P.Nacua,LA,2023,11,WR,0,0,0.0,0,0.0,1,7.0,0,7,5,70.0,1,18.7
00-0039136,Z.Evans,LA,2023,11,RB,0,0,0.0,0,0.0,1,0.0,0,0,0,0.0,0,0.0
00-0039139,J.Gibbs,DET,2023,11,RB,0,0,0.0,0,0.0,8,36.0,1,6,6,59.0,0,21.5
00-0039144,L.Musgrave,GB,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,6,4,28.0,0,6.8
00-0039146,J.Reed,GB,2023,11,WR,0,0,0.0,0,0.0,3,46.0,1,6,4,46.0,0,19.2
00-0039150,B.Young,CAR,2023,11,QB,16,29,123.0,1,1.0,2,3.0,0,0,0,0.0,0,5.22
00-0039152,W.Levis,TEN,2023,11,QB,13,17,158.0,2,0.0,4,2.0,0,0,0,0.0,0,12.52
00-0039163,C.Stroud,HOU,2023,11,QB,27,37,336.0,2,3.0,1,-1.0,0,0,0,0.0,0,15.34
